fixture_id,league_id,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1187225,13,Huachipato,The Strongest,0.0,0.0,2.0,2.0,,,12,2
1187226,13,Libertad Asuncion,River Plate,1.0,2.0,3.0,3.0,,,7,7
1187227,13,Bolívar,Flamengo,2.0,1.0,,,,,9,0
1187228,13,Independiente del Valle,Palmeiras,2.0,3.0,3.0,2.0,,,5,6
1187229,13,Cobresal,Talleres Cordoba,0.0,2.0,1.0,2.0,,,12,7
1187230,13,Cerro Porteno,Fluminense,0.0,0.0,3.0,2.0,,,1,3
1187231,13,Barcelona SC,Sao Paulo,0.0,2.0,1.0,0.0,,,2,2
1187232,13,Palestino,Millonarios,3.0,1.0,1.0,1.0,,,2,5
1187233,13,Caracas FC,Penarol,0.0,1.0,2.0,1.0,,,5,2
1187234,13,Rosario Central,Atletico-MG,0.0,1.0,1.0,4.0,,,2,6
1187235,13,Club Nacional,River Plate,2.0,2.0,7.0,2.0,,,12,2
1187236,13,Palestino,Flamengo,1.0,0.0,2.0,3.0,,,6,5
1187237,13,Deportivo Tachira FC,Libertad Asuncion,1.0,1.0,1.0,2.0,,,4,3
1187238,13,Universitario,Junior,1.0,1.0,2.0,2.0,,,5,5
1187239,13,Huachipato,Gremio,0.0,1.0,3.0,2.0,0.0,0.0,6,5
1187240,13,Talleres Cordoba,Barcelona SC,3.0,1.0,1.0,4.0,,,5,5
1187241,13,Alianza Lima,Cerro Porteno,1.0,1.0,2.0,3.0,,,9,3
1187242,13,Botafogo,LDU de Quito,2.0,1.0,4.0,3.0,,,1,5
1187243,13,Cobresal,Sao Paulo,1.0,3.0,2.0,0.0,,,2,3
1187244,13,Millonarios,Bolívar,1.0,1.0,4.0,4.0,,,3,6
1187245,13,San Lorenzo,Independiente del Valle,2.0,0.0,2.0,3.0,1.0,0.0,5,2
1187246,13,Liverpool Montevideo,Palmeiras,0.0,5.0,1.0,2.0,,,5,3
1187247,13,Colo Colo,Fluminense,0.0,1.0,2.0,6.0,,,4,2
1187248,13,The Strongest,Estudiantes L.P.,1.0,0.0,2.0,3.0,,,0,7
1187249,13,Talleres Cordoba,Cobresal,1.0,0.0,3.0,2.0,,,7,4
1187250,13,LDU de Quito,Junior,0.0,1.0,1.0,1.0,,,8,2
1187251,13,Penarol,Atletico-MG,2.0,0.0,3.0,4.0,,,2,2
1187252,13,River Plate,Libertad Asuncion,2.0,0.0,1.0,2.0,,,6,7
1187253,13,Millonarios,Palestino,1.0,1.0,1.0,4.0,,,7,4
1187254,13,The Strongest,Huachipato,4.0,0.0,1.0,6.0,0.0,1.0,7,3
1187255,13,Deportivo Tachira FC,Club Nacional,0.0,1.0,2.0,6.0,1.0,0.0,0,1
1187256,13,Gremio,Estudiantes L.P.,1.0,1.0,3.0,4.0,,,5,9
1187257,13,Alianza Lima,Colo Colo,1.0,1.0,3.0,5.0,0.0,2.0,2,2
1187258,13,Flamengo,Bolívar,4.0,0.0,1.0,2.0,,,5,5
1187259,13,Palmeiras,Independiente del Valle,2.0,1.0,0.0,2.0,,,3,3
1187260,13,Rosario Central,Caracas FC,4.0,1.0,1.0,1.0,,,3,1
1187261,13,Fluminense,Cerro Porteno,2.0,1.0,1.0,4.0,0.0,1.0,7,0
1187262,13,San Lorenzo,Liverpool Montevideo,3.0,2.0,5.0,4.0,0.0,1.0,4,2
1187263,13,Sao Paulo,Barcelona SC,0.0,0.0,1.0,3.0,,,8,5
1187264,13,Universitario,Botafogo,0.0,1.0,2.0,2.0,,,11,0
1187265,13,Junior,Botafogo,0.0,0.0,3.0,2.0,0.0,1.0,4,4
1187266,13,LDU de Quito,Universitario,2.0,0.0,1.0,2.0,0.0,1.0,5,3
1187267,13,Atletico-MG,Caracas FC,4.0,0.0,4.0,0.0,0.0,1.0,7,1
1187268,13,Penarol,Rosario Central,2.0,1.0,5.0,3.0,,,2,5
1187269,13,Bolívar,Palestino,3.0,1.0,1.0,2.0,,,6,2
1187270,13,Flamengo,Millonarios,3.0,0.0,0.0,1.0,1.0,0.0,6,1
1187271,13,Estudiantes L.P.,Huachipato,3.0,4.0,6.0,5.0,,,6,4
1187272,13,Gremio,The Strongest,4.0,0.0,1.0,3.0,,,10,4
1187273,13,Cerro Porteno,Colo Colo,1.0,1.0,2.0,3.0,1.0,0.0,6,3
1187274,13,Fluminense,Alianza Lima,3.0,2.0,6.0,1.0,,,4,9
1187275,13,Sao Paulo,Talleres Cordoba,2.0,0.0,3.0,4.0,0.0,1.0,5,1
1187276,13,Barcelona SC,Cobresal,2.0,1.0,1.0,1.0,,,2,2
1187277,13,Independiente del Valle,Liverpool Montevideo,2.0,1.0,1.0,4.0,,,14,3
1187278,13,Palmeiras,San Lorenzo,0.0,0.0,1.0,3.0,,,6,1
