fixture_id,league_id,season,round,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1187211,13,2024,Group Stage - 2,Sao Paulo,Cobresal,2.0,0.0,3.0,5.0,,,7,4
1187212,13,2024,Group Stage - 2,Barcelona SC,Talleres Cordoba,2.0,2.0,4.0,3.0,,,5,5
1187213,13,2024,Group Stage - 2,Bolívar,Millonarios,3.0,2.0,2.0,2.0,1.0,1.0,4,5
1187214,13,2024,Group Stage - 2,LDU de Quito,Botafogo,1.0,0.0,3.0,0.0,,,8,3
1187215,13,2024,Group Stage - 2,Palmeiras,Liverpool Montevideo,3.0,1.0,2.0,5.0,,,5,1
1187216,13,2024,Group Stage - 2,River Plate,Club Nacional,2.0,0.0,0.0,3.0,,,7,2
1187217,13,2024,Group Stage - 3,Estudiantes L.P.,Gremio,0.0,1.0,2.0,7.0,0.0,1.0,8,4
1187218,13,2024,Group Stage - 3,Caracas FC,Rosario Central,1.0,1.0,3.0,2.0,,,1,11
1187219,13,2024,Group Stage - 3,Atletico-MG,Penarol,3.0,2.0,4.0,1.0,,,3,5
1187220,13,2024,Group Stage - 3,Liverpool Montevideo,San Lorenzo,1.0,0.0,1.0,3.0,,,5,5
1187221,13,2024,Group Stage - 3,Colo Colo,Alianza Lima,0.0,0.0,5.0,4.0,,,10,2
1187222,13,2024,Group Stage - 3,Junior,LDU de Quito,1.0,1.0,3.0,3.0,,,3,6
1187223,13,2024,Group Stage - 3,Botafogo,Universitario,3.0,1.0,2.0,4.0,,,3,4
1187224,13,2024,Group Stage - 3,Club Nacional,Deportivo Tachira FC,2.0,1.0,2.0,3.0,,,7,3
1187225,13,2024,Group Stage - 3,Huachipato,The Strongest,0.0,0.0,2.0,2.0,,,12,2
1187226,13,2024,Group Stage - 3,Libertad Asuncion,River Plate,1.0,2.0,3.0,3.0,,,7,7
1187227,13,2024,Group Stage - 3,Bolívar,Flamengo,2.0,1.0,,,,,9,0
1187228,13,2024,Group Stage - 3,Independiente del Valle,Palmeiras,2.0,3.0,3.0,2.0,,,5,6
1187229,13,2024,Group Stage - 3,Cobresal,Talleres Cordoba,0.0,2.0,1.0,2.0,,,12,7
1187230,13,2024,Group Stage - 3,Cerro Porteno,Fluminense,0.0,0.0,3.0,2.0,,,1,3
1187231,13,2024,Group Stage - 3,Barcelona SC,Sao Paulo,0.0,2.0,1.0,0.0,,,2,2
1187232,13,2024,Group Stage - 3,Palestino,Millonarios,3.0,1.0,1.0,1.0,,,2,5
